id,name,address_prefix,city,state,zip,latitude,longitude,street,more_info_url,indoor,outdoor,available_federal,available_academia,available_industry,Technology_WiFi,Technology_SATCOM,Technology_WiMAX,Technology_UMTS,Technology_ZigBee,Technology_Bluetooth,Technology_SDR,Technology_TDMA,Technology_DAMA,Technology_mini-CDL,Technology_TTNT,Technology_QNT,Technology_LegacyHF,Technology_VHF,Technology_UHF,Technology_117G_radios,Technology_WNaN_radios,Technology_microwave,Technology_optical,Technology_GNU_radios,Technology_LTE,Technology_Project25LMR,Technology_U-NIIDynamicFrequencySelectionRadio,Technology_Point_to_Point_Microwave,Technology_WiredMPLS,Technology_VirtualModeledWiFi,Technology_Tactical_Radio,freq30M_300M,freq300M_3G,freq3G_30G,freq30G_300G,freq0_30M,GENI
1,Calit2 Ericsson Wireless Access Network Research Test-bed ,"Atkinson Hall Room 6204 Calit2, UCSD Division",La Jolla,CA,92093,32.882813,-117.236157,"9500 Gilman Drive, MC0436",http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Calit2_Ericsson_Wireless_Access_Network_Research_Test-bed,YES,YES,YES,YES,YES,YES,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,NO
2,AFRL Aerial Layer Networking Facilities,"Air Force Research Laboratory Information Directorate Communications & Computing Division, AFRL/RIT",Rome,NY,13441,43.222813,-75.408548,525 Brooks Road,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=AFRL_Aerial_Layer_Networking_Facilities&view=portal,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,,YES,,,NO
3,NRL Cognitive Radio Test Laboratory,,Washington,DC,20375,38.823307,-77.017462,"4555 Overlook Ave., SW",http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=NRL_Cognitive_Radio_Test_Laboratory,YES,NO,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,YES,NO
4,ORBIT: Open Access Next Generation Wireless Network Testbed,Technology Center of NJ,North Brunswick,NJ,8902,40.471401,-74.44984,671 Rt. 1 South,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ORBIT:_Open_Access_Next_Generation_Wireless_Network_Testbed,YES,YES,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,YES,,YES,,,NO
5,Spectrum Sharing Innovation Test-bed,M/S NTIA/ITS.M,Boulder,CO,80305,39.993058,-105.258813,325 Broadway,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Spectrum_Sharing_Innovation_Test-bed,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,,,YES,,YES,,,NO
6,Public Safety Communications Research Lab (PSCR),M/S NTIA/ITS.M,Boulder,CO,80305,39.99306,-105.258815,325 Broadway,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Public_Safety_Communications_Research_Lab_(PSCR),YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,,,YES,,YES,,,NO
7,Cognitive Radio Network Testbed (CORNET),,Blacksburg,VA,24060,37.231737,-80.423698,432 Durham Hall (0350),http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Cognitive_Radio_Network_Testbed_(CORNET),YES,NO,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,,,NO
8,NRL Tactical Edge Network Testbed,Code 5522,Washington,DC,20375,38.823307,-77.017462,"4555 Overlook Ave., SW",http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=NRL_Tactical_Edge_Network_Testbed,YES,NO,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,,,,NO
10,ORNL Communications Testbed,,Oak Ridge,TN,37831,35.931702,-84.31078,1 Bethel Valley Rd,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ORNL_Communications_Testbed,YES,YES,YES,YES,YES,YES,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,YES,,NO
11,Electronic Proving Ground (US Army Test Ranges),,Fort Huachuca,AZ,,31.555216,-110.349922,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=US_Army_Test_Ranges,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
12,White Sands Missile Range (US Army Test Ranges),,White Sands Missile Range,NM,,32.943896,-106.41966,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=US_Army_Test_Ranges,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
13,Aberdeen Test Center (US Army Test Ranges),,Aberdeen Proving Ground,MD,,39.472467,-76.129966,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=US_Army_Test_Ranges,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
14,Redstone Test Center (US Army Test Ranges),,Redstone Arsenal,AL,,34.684075,-86.654036,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=US_Army_Test_Ranges,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
